# 
# Plain text to be used to modify SSB inputs to build SiteReadiness tables
# Useful to correct bugs and/or modify daily metric values for a given site or all sites
#
# Usage: For a given site, entries are filled as -> Site,Date,Metric,Color,Value
#        A modification for all sites should be entered as -> 'ALL SITES',Date,Metric,Color,Value
#
# Examples:
#
# T2_ES_CIEMAT,2009-02-10,Downtimes,pink,test
# ALL SITES,2009-02-12,Downtimes,white,test
#

T2_IT_Pisa,2009-05-13,SAMAvailability,green,100%
T2_IT_Rome,2009-05-13,SAMAvailability,green,100%
T2_KR_KNU,2009-05-13,SAMAvailability,green,100%
T2_PL_Warsaw,2009-05-13,SAMAvailability,green,100%
T2_PT_LIP_Coimbra,2009-05-13,SAMAvailability,green,100%
T2_PT_LIP_Lisbon,2009-05-13,SAMAvailability,green,100%
T2_RU_IHEP,2009-05-13,SAMAvailability,green,100%
T2_RU_INR,2009-05-13,SAMAvailability,green,100%
T2_RU_ITEP,2009-05-13,SAMAvailability,green,100%
T2_RU_JINR,2009-05-13,SAMAvailability,green,100%
T2_RU_PNPI,2009-05-13,SAMAvailability,green,100%
T2_RU_RRC_KI,2009-05-13,SAMAvailability,green,100%
T2_RU_SINP,2009-05-13,SAMAvailability,green,100%
T2_TR_METU,2009-05-13,SAMAvailability,green,100%
T2_TR_ULAKBIM,2009-05-13,SAMAvailability,green,100%
T2_TW_Taiwan,2009-05-13,SAMAvailability,green,100%
T2_UA_KIPT,2009-05-13,SAMAvailability,green,100%
T2_UK_London_Brunel,2009-05-13,SAMAvailability,green,100%
T2_UK_London_IC,2009-05-13,SAMAvailability,green,100%
T2_UK_SGrid_Bristol,2009-05-13,SAMAvailability,green,100%
T2_UK_SGrid_RALPP,2009-05-13,SAMAvailability,green,100%
T1_CH_CERN,2009-05-14,SAMAvailability,green,100%
T1_DE_FZK,2009-05-14,SAMAvailability,green,100%
T1_ES_PIC,2009-05-14,SAMAvailability,green,100%
T1_FR_CCIN2P3,2009-05-14,SAMAvailability,green,100%
T1_IT_CNAF,2009-05-14,SAMAvailability,green,100%
T1_TW_ASGC,2009-05-14,SAMAvailability,green,100%
T1_UK_RAL,2009-05-14,SAMAvailability,green,100%
T2_AT_Vienna,2009-05-14,SAMAvailability,green,100%
T2_BE_IIHE,2009-05-14,SAMAvailability,green,100%
T2_BE_UCL,2009-05-14,SAMAvailability,green,100%
T2_BR_SPRACE,2009-05-14,SAMAvailability,green,100%
T2_BR_UERJ,2009-05-14,SAMAvailability,green,100%
T2_CH_CSCS,2009-05-14,SAMAvailability,green,100%
T2_CN_Beijing,2009-05-14,SAMAvailability,green,100%
T2_DE_DESY,2009-05-14,SAMAvailability,green,100%
T2_DE_RWTH,2009-05-14,SAMAvailability,green,100%
T2_EE_Estonia,2009-05-14,SAMAvailability,green,100%
T2_ES_CIEMAT,2009-05-14,SAMAvailability,green,100%
T2_ES_IFCA,2009-05-14,SAMAvailability,green,100%
T2_FI_HIP,2009-05-14,SAMAvailability,green,100%
T2_FR_CCIN2P3,2009-05-14,SAMAvailability,green,100%
T2_FR_GRIF_IRFU,2009-05-14,SAMAvailability,green,100%
T2_FR_GRIF_LLR,2009-05-14,SAMAvailability,green,100%
T2_FR_IPHC,2009-05-14,SAMAvailability,green,100%
T2_HU_Budapest,2009-05-14,SAMAvailability,green,100%
T2_IN_TIFR,2009-05-14,SAMAvailability,green,100%
T2_IT_Bari,2009-05-14,SAMAvailability,green,100%
T2_IT_Legnaro,2009-05-14,SAMAvailability,green,100%
T2_IT_Pisa,2009-05-14,SAMAvailability,green,100%
T2_IT_Rome,2009-05-14,SAMAvailability,green,100%
T2_KR_KNU,2009-05-14,SAMAvailability,green,100%
T2_PL_Warsaw,2009-05-14,SAMAvailability,green,100%
T2_PT_LIP_Coimbra,2009-05-14,SAMAvailability,green,100%
T2_PT_LIP_Lisbon,2009-05-14,SAMAvailability,green,100%
T2_RU_IHEP,2009-05-14,SAMAvailability,green,100%
T2_RU_INR,2009-05-14,SAMAvailability,green,100%
T2_RU_ITEP,2009-05-14,SAMAvailability,green,100%
T2_RU_JINR,2009-05-14,SAMAvailability,green,100%
T2_RU_PNPI,2009-05-14,SAMAvailability,green,100%
T2_RU_RRC_KI,2009-05-14,SAMAvailability,green,100%
T2_RU_SINP,2009-05-14,SAMAvailability,green,100%
T2_TR_METU,2009-05-14,SAMAvailability,green,100%
T2_TR_ULAKBIM,2009-05-14,SAMAvailability,green,100%
T2_TW_Taiwan,2009-05-14,SAMAvailability,green,100%
T2_UA_KIPT,2009-05-14,SAMAvailability,green,100%
T2_UK_London_Brunel,2009-05-14,SAMAvailability,green,100%
